,learning_rate,batch_size,e_layers,d_layers,d_model,MSE,MAE,Epochs,Time[min],Params[Mio.],Max_mem[MB]
0,1e-05,32,4,3,512,0.03147583454847336,0.129057377576828,12,14,25.2,1391
1,1e-05,64,4,3,512,0.037264276295900345,0.14102379977703094,12,11,25.2,2308
2,1e-05,128,4,3,512,0.04665611311793327,0.15977779030799866,14,13,25.2,4264
3,0.0001,32,4,3,512,0.028958728536963463,0.12191039323806763,7,8,25.2,1391
4,0.0001,64,4,3,512,0.027356499806046486,0.11821117252111435,9,8,25.2,2308
5,0.0001,128,4,3,512,0.02923005074262619,0.12443175166845322,12,11,25.2,4264
6,0.0005,32,4,3,512,0.0380280576646328,0.14537641406059265,4,4,25.2,1391
7,0.0005,64,4,3,512,0.030629461631178856,0.1279316395521164,13,12,25.2,2308
8,0.0005,128,4,3,512,0.030512019991874695,0.12956862151622772,11,10,25.2,4264
9,0.001,32,2,1,32,0.033609405159950256,0.13361333310604095,9,4,0.0,204
10,0.001,32,4,3,512,0.03547763079404831,0.14103662967681885,4,4,25.2,1391
11,0.001,64,2,1,32,0.03710497170686722,0.14334926009178162,6,1,0.0,261
12,0.001,64,4,3,512,0.03478240966796875,0.13745997846126556,4,4,25.2,2308
13,0.001,128,2,1,32,0.03778914362192154,0.14423976838588715,9,1,0.0,377
14,0.001,128,4,3,512,0.04316367208957672,0.15281517803668976,4,3,25.2,4264
15,0.005,32,2,1,32,0.029542000964283943,0.1267586499452591,10,5,0.0,204
16,0.005,64,2,1,32,0.031010428443551064,0.13093601167201996,5,1,0.0,261
17,0.005,128,2,1,32,0.032813604921102524,0.13260112702846527,11,2,0.0,377
18,0.01,32,2,1,32,0.03160100057721138,0.13169744610786438,9,4,0.0,204
19,0.01,64,2,1,32,0.031381163746118546,0.13157407939434052,5,1,0.0,261
20,0.01,128,2,1,32,0.030634216964244843,0.1305198222398758,6,1,0.0,377
