,learning_rate,batch_size,e_layers,d_layers,d_model,seq_len,pred_len,optim,lradj,dropout,weight_decay,MSE,MAE,Epochs,Time[min],Params[Mio.],Max_mem[MB]
0,0.0001,64,3,1,256,336,192,adamW,TST,0.05,0.01,0.27529698610305786,0.33945295214653015,15,10,1.37,305.17
1,0.0001,64,3,1,256,336,192,adamW,TST,0.2,0.1,0.26955920457839966,0.3409339487552643,15,9,1.37,305.17
2,0.0001,64,3,1,256,336,192,adamW,type1,0.05,0.01,0.31775546073913574,0.3790278434753418,15,9,1.37,305.17
3,0.0001,64,3,1,256,336,192,adamW,type1,0.2,0.1,0.33331742882728577,0.3914641737937927,15,9,1.37,305.17
4,0.0001,64,3,1,512,336,192,adamW,TST,0.05,0.01,0.2580297887325287,0.32376179099082947,15,11,5.1,557.78
5,0.0001,64,3,1,512,336,192,adamW,TST,0.2,0.1,0.24771738052368164,0.3221987783908844,15,11,5.1,557.78
6,0.0001,64,3,1,512,336,192,adamW,type1,0.05,0.01,0.27540692687034607,0.34502071142196655,14,10,5.1,557.78
7,0.0001,64,3,1,512,336,192,adamW,type1,0.2,0.1,0.2781487703323364,0.35052067041397095,15,11,5.1,557.78
8,0.0001,64,3,1,1024,336,192,adamW,TST,0.05,0.01,0.2543623149394989,0.31413525342941284,15,19,19.65,1227.38
9,0.0001,64,3,1,1024,336,192,adamW,TST,0.2,0.1,0.23922383785247803,0.31201043725013733,15,18,19.65,1227.38
10,0.0001,64,3,1,1024,336,192,adamW,type1,0.05,0.01,0.26459887623786926,0.33427882194519043,9,11,19.65,1227.38
11,0.0001,64,3,1,1024,336,192,adamW,type1,0.2,0.1,0.26035448908805847,0.33094239234924316,13,16,19.65,1227.38
12,0.0001,64,6,1,256,336,192,adamW,TST,0.05,0.01,0.26149308681488037,0.3315540552139282,15,11,2.56,543.17
13,0.0001,64,6,1,256,336,192,adamW,TST,0.2,0.1,0.253552109003067,0.33005577325820923,15,11,2.56,543.17
14,0.0001,64,6,1,256,336,192,adamW,type1,0.05,0.01,0.29360079765319824,0.3626922070980072,15,11,2.56,543.17
15,0.0001,64,6,1,256,336,192,adamW,type1,0.2,0.1,0.30812129378318787,0.37517666816711426,15,11,2.56,543.17
16,0.001,64,3,1,256,336,192,adamW,TST,0.05,0.01,0.231702983379364,0.302286833524704,15,10,1.37,305.17
17,0.001,64,3,1,256,336,192,adamW,TST,0.2,0.1,0.21607813239097595,0.2996591329574585,15,9,1.37,305.17
18,0.001,64,3,1,256,336,192,adamW,type1,0.05,0.01,0.2515760362148285,0.32160577178001404,13,8,1.37,305.17
19,0.001,64,3,1,256,336,192,adamW,type1,0.2,0.1,0.23918205499649048,0.3199922740459442,15,9,1.37,305.17
20,0.001,64,3,1,512,336,192,adamW,TST,0.05,0.01,0.19935283064842224,0.27631428837776184,15,11,5.1,557.78
21,0.001,64,3,1,512,336,192,adamW,TST,0.2,0.1,0.19555358588695526,0.281534880399704,15,10,5.1,557.78
22,0.001,64,3,1,512,336,192,adamW,type1,0.05,0.01,0.23582294583320618,0.3076397180557251,11,8,5.1,557.78
23,0.001,64,3,1,512,336,192,adamW,type1,0.2,0.1,0.22397953271865845,0.30662816762924194,15,10,5.1,557.78
24,0.001,64,3,1,1024,336,192,adamW,TST,0.05,0.01,0.7968047261238098,0.6665341258049011,7,8,19.65,1227.38
25,0.001,64,3,1,1024,336,192,adamW,TST,0.2,0.1,0.8031578660011292,0.667489767074585,7,8,19.65,1227.38
26,0.001,64,3,1,1024,336,192,adamW,type1,0.05,0.01,0.3223303556442261,0.3808901607990265,7,8,19.65,1227.38
27,0.001,64,3,1,1024,336,192,adamW,type1,0.2,0.1,0.338601678609848,0.3930679261684418,7,8,19.65,1227.38
28,0.001,64,6,1,256,336,192,adamW,TST,0.05,0.01,0.23033493757247925,0.2962096035480499,15,11,2.56,543.17
29,0.001,64,6,1,256,336,192,adamW,TST,0.2,0.1,0.2076026350259781,0.2858889698982239,15,11,2.56,543.17
30,0.001,64,6,1,256,336,192,adamW,type1,0.05,0.01,0.24679704010486603,0.31661930680274963,12,9,2.56,543.17
31,0.001,64,6,1,256,336,192,adamW,type1,0.2,0.1,0.22975805401802063,0.30909767746925354,15,11,2.56,543.17
